0.835: (Giannini; established; Bank of America)
0.728: (Giannini; established Bank of America and Italy in Italy in; 1922)
0.55: (Bank of America; be founded in; Charlotte)
0.887: (Amadeo Giannini; founded; the Bank of Italy)
0.685: (Bank of America 's main person; is; Brian T. Moynihan)
0.806: (Bank of America; was located initially at; Charlotte)
0.953: (NationsBank; was predecessor of; Bank of America)
0.797: (NationsBank; was; predecessor of Bank of America)
0.871: (Nationsbank; predecessored; Bank of America)
0.886: (Bank of America; regioned at; California)
0.685: (Bank of America;named as; Bank of America.)
0.953: (Bank_of_America_Home_Loans; is a division of; Bank of America)
0.795: (Bank_of_America_Home_Loans; is; a division of Bank of America)
0.792: (Bank of America; be mainly located at; western region)
0.953: (Merrill_Lynch; is the subsidiary of; Bank of America)
0.913: (Merrill_Lynch ;is; the subsidiary of Bank of America)
0.792: (Bank of America; be mainly located at; western region)
